word,aqua #00ffff,black #000000,blue #0000ff,brown #A52A2A,fuchsia #ff00ff,gold #ffd700,gray #808080,green #008000,lime #00ff00,maroon #800000,navy #000080,olive #808000,orange #ffa500,purple #800080,red #ff0000,silver #c0c0c0,teal #008080,white #ffffff,yellow #ffff00,Total Votes
calming,14.1925777332,1.9057171514544,7.2049481778669,1.3707790036777,1.5379471748579,3.1427616181879,3.0758943497158,7.6730190571715,1.9391507856904,1.1868940153795,8.0073553995319,2.3069207622869,2.8418589100635,2.3570712136409,1.5379471748579,6.469408224674,22.567703109328,9.3279839518556,1.3540621865597,5982
capable,3.9126478616924,4.2766151046406,12.192902638763,3.0937215650591,2.820746132848,4.3676069153776,2.729754322111,7.5523202911738,6.0964513193813,3.0937215650591,13.375796178344,2.638762511374,5.9144676979072,4.0036396724295,6.6424021838035,1.1828935395814,10.73703366697,2.0018198362147,3.3666969972702,1099
car,0.7742167806986,15.538350738207,5.5815628375945,2.1065898451566,1.3143680230465,1.3143680230465,13.08966510623,2.1425999279798,0.95426719481455,4.3392149801945,6.2117392870004,1.0622974432841,1.5304285199856,1.4043932301044,26.089305005402,9.1465610370904,1.69247389269,4.1411595246669,1.5664386028088,5554
cat,1.1104060913706,24.555837563452,1.8083756345178,4.3781725888325,3.0456852791878,5.6154822335025,12.214467005076,1.9670050761421,1.4593908629442,3.3312182741117,1.744923857868,3.2360406091371,16.560913705584,2.3794416243655,2.1890862944162,6.2182741116751,1.6814720812183,3.997461928934,2.506345177665,3152
certain,2.1182421751502,15.017388555169,8.6942775845716,2.592475497945,1.9601644008852,2.592475497945,4.8371798925071,6.9870376225103,5.9753398672147,3.6041732532406,13.12045526399,1.8020866266203,3.4460954789757,3.2247865950047,7.587733164717,2.8453999367689,3.4777110338286,6.3231109705975,3.7938665823585,3163
charity,7.055630936228,1.9222071460877,6.8521031207598,2.1709633649932,7.1687019448213,6.7842605156038,1.4699231117142,10.357304387155,5.6761646313885,2.0805065581185,3.2564450474898,1.8543645409317,6.0832202623247,5.4047942107644,5.5404794210764,1.9900497512438,5.4500226142017,11.035730438716,7.8471279963817,4422
cheerful,4.6399406087602,1.7074981440238,2.5612472160356,0.89086859688196,12.119524870082,8.8715664439495,1.1507052709725,1.5961395694135,6.7000742390497,0.74239049740163,0.96510764662212,0.4083147735709,7.1455085374907,1.5404602821084,6.365998515219,0.48255382331106,0.87230883444692,0.72383073496659,40.515961395694,5388
chicago,3.3789688319254,6.3210020390329,7.369647538596,5.2723565394699,2.2429362073988,2.7381299155258,18.176521992426,3.0002912904165,1.3981939994174,6.3501310806874,6.6122924555782,2.8255170404894,4.3110981648704,2.3011942907078,11.826390911739,7.3113894552869,4.2237110399068,2.0390329158171,2.3011942907078,3433
classic,1.4673514306676,19.73587674248,3.980190755686,5.0807043286867,1.4123257520176,2.5311812179017,9.5194424064563,2.7696258253852,0.88041085840059,8.1621423330888,9.2259721203228,3.980190755686,2.7146001467351,2.3661041819516,3.4666177549523,7.5935436537051,3.1548055759354,10.674981658107,1.2839325018342,5452
classy,1.6563604240283,25.861307420495,3.0697879858657,3.0697879858657,3.0256183745583,2.4955830388693,6.404593639576,1.9213780918728,0.99381625441696,7.1775618374558,8.613074204947,1.6563604240283,2.208480565371,8.2818021201413,3.4231448763251,5.4328621908127,4.1961130742049,8.7234982332155,1.7888692579505,4528
